Job_ID,Job_Title,Skills,date_posted
3,UX Designer,"SQL, Cybersecurity, Scrum, HTML",02-07-2026
4,Cybersecurity Analyst,"AWS, Cybersecurity, CSS, JavaScript, Deep Learning, GCP",02-07-2026
5,Web Developer,"Cybersecurity, Big Data, Scrum, Python, React",02-07-2026
6,Software Engineer,"Flask, Deep Learning, Penetration Testing, Scrum, PyTorch",02-07-2026
7,UX Designer,"HTML, Cybersecurity, Azure, Hadoop",03-07-2026
8,Product Manager,"Penetration Testing, React, HTML, TensorFlow, Data Analysis",03-07-2026
9,Cybersecurity Analyst,"SQL, Azure, Data Analysis",03-07-2026
10,UX Designer,"Azure, AWS, Python, Java, Agile",04-07-2026
11,Data Scientist,"Agile, Deep Learning, Node.js, AWS, CSS, C#",04-07-2026
12,Database Administrator,"Agile, Kubernetes, React, CSS",04-07-2026
13,Cybersecurity Analyst,"Data Analysis, Deep Learning, Java",04-07-2026
14,Product Manager,"Hadoop, Deep Learning, PyTorch, JavaScript, C#",04-07-2026
15,Software Engineer,"Deep Learning, Azure, Node.js, Python, Java, Scrum",04-07-2026
16,UX Designer,"TensorFlow, Hadoop, Flask, Docker, GCP",04-07-2026
17,AI Researcher,"TensorFlow, Kubernetes, CSS, Data Analysis, HTML, Docker",05-07-2026
18,Database Administrator,"Cybersecurity, Scrum, Hadoop, C++, Deep Learning, Docker",06-07-2026
19,Database Administrator,"Penetration Testing, Flask, CSS, Docker",06-07-2026
20,UX Designer,"Cybersecurity, React, HTML, JavaScript",06-07-2026
21,Product Manager,"React, AWS, Machine Learning, Java",06-07-2026
22,Web Developer,"Flask, C#, Python",06-07-2026
23,Data Scientist,"Deep Learning, Penetration Testing, Data Analysis",06-07-2026
24,Product Manager,"Machine Learning, TensorFlow, Hadoop, Data Analysis, Flask",06-07-2026
25,Data Scientist,"Deep Learning, Node.js, C#, GCP",06-07-2026
26,Cloud Architect,"Angular, React, Machine Learning, Docker",08-07-2026
27,Database Administrator,"GCP, Agile, Deep Learning",08-07-2026
28,Data Scientist,"Big Data, React, Hadoop, JavaScript",08-07-2026
29,UX Designer,"Hadoop, JavaScript, Flask, Cybersecurity, CSS",08-07-2026
30,Cybersecurity Analyst,"Angular, Kubernetes, Django, HTML",11-07-2026
31,UX Designer,"GCP, Agile, JavaScript, Flask, Big Data, Django",11-07-2026
32,AI Researcher,"Flask, C#, Penetration Testing, GCP, Deep Learning",11-07-2026
